system:index,m_10,m_11,m_4,m_5,m_6,m_7,m_8,m_9,name,state,year,.geo
2_40_0,0.5336406,0.13202669,0.47808495,0.803421,0.83597887,0.6547461,0.5754875,0.55815655,182_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.93895738332515,55.17299761463801]}"
2_41_0,0.42424244,0.24241367,0.24312203,0.4267536,0.8216955,-100.0,0.7914663,0.65499437,398_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.268639092597013,55.8298457503862]}"
2_42_0,0.41365463,0.08982684,0.332429,0.53361434,0.855794,0.8213869,0.8310292,0.7110114,148_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.45817904326438,55.10292902247669]}"
2_43_0,0.244644,0.13010152,0.24332874,0.20705037,0.54458106,0.8635092,0.80426335,0.8437108,98_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.328282653180697,55.03968762647467]}"
2_44_0,0.599473,0.20449632,0.30138114,0.5204419,0.86739975,0.8003897,0.6572563,0.7361466,344_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89619757580106,55.8756598298763]}"
2_45_0,0.26770055,0.5521871,0.1492865,0.27882037,0.8331682,0.7962126,0.4525583,0.76942724,371_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.59705858618926,55.75744153848617]}"
2_46_0,0.1689433,0.12966476,0.20743473,0.49567088,0.85556114,0.8385993,0.70726866,0.7075553,112_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.448117912082242,55.05316235573646]}"
2_47_0,0.354531,0.35104513,0.3513986,0.6807671,0.8697654,0.89574134,0.83731216,0.8170076,360_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.297744507802484,55.90530423425224]}"
2_48_0,0.6414853,0.3864553,0.5511638,0.74728113,0.8873401,0.85414004,0.84706336,0.8238953,138_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.455124771298376,55.12017667593178]}"
2_49_0,-100.0,-100.0,0.2602075,0.2207328,0.63514805,0.8144379,0.8394824,0.71131724,266_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.813013580491592,55.25959520802713]}"
2_50_0,0.5653179,0.25071064,0.28324318,0.6015844,0.8758299,0.6781341,0.7568573,0.64311445,394_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.229113220095755,55.83038473955667]}"
2_51_0,0.6533248,0.31169283,0.3783176,0.27842823,0.6120735,0.7778771,0.7123465,0.77180195,378_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.565437888188253,55.746302428963084]}"
2_52_0,0.5402102,0.28779614,0.27613974,0.43903586,0.88639367,0.8586145,0.7999559,0.7547321,352_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.969140776871566,55.90260928839988]}"
2_53_0,0.6345321,0.28439006,0.4127159,0.70185447,0.88107467,0.8467938,0.85173285,0.7971111,76_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.09544390581877,55.25420531632241]}"
2_54_0,0.2997988,-100.0,0.24299066,0.39724886,0.7187088,0.8105348,0.79766786,0.7261949,268_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.768457142399264,55.24576115265169]}"
2_55_0,0.66304904,0.09326425,0.40255964,0.7361771,0.71886873,0.6457257,0.6277828,0.7558252,243_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.96159492848496,55.20569629097996]}"
2_56_0,0.45875105,0.2470621,0.30782372,0.5260796,0.66997087,0.3345266,0.53132117,0.55074936,355_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.044599260737606,55.88230736297878]}"
2_57_0,0.747093,0.740177,0.3129321,0.23209184,0.6295184,0.51615673,0.79970115,0.6880637,381_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.548549560846805,55.750614342326855]}"
2_58_0,0.22000353,-0.008033562,0.40586936,0.72660655,0.8920147,0.8782306,0.881918,0.82456666,95_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.36924583013655,55.02333828830369]}"
2_59_0,0.3789853,0.29715905,0.24484377,0.69870603,0.8239513,0.79887,0.7560876,0.64071226,130_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.842478321810713,55.23300507561719]}"
2_60_0,0.47199205,0.3514,0.40128067,0.33309123,0.7224949,0.7342312,0.7444327,0.82029253,378_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.56489889901778,55.74702108119038]}"
2_61_0,0.7345998,0.16223003,0.33108062,0.7456416,0.6889381,0.5523144,0.66345525,0.73367536,243_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.96249324376908,55.20551662792313]}"
2_62_0,0.5267127,0.11927713,0.27130976,0.6502385,0.86063665,0.82198775,0.8110563,0.6812463,192_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.04477892379443,55.214679443821154]}"
2_63_0,0.3197625,0.5736371,0.3776837,0.5894076,0.71807224,0.5803383,0.71792096,0.6759517,382_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.53453584241454,55.77415020277079]}"
2_64_0,0.45503667,0.30467355,0.35759526,0.7722481,0.8630859,0.80844784,0.818662,0.75762117,259_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.89673656497153,55.26965633920927]}"
2_65_0,0.5572917,0.5049505,0.2606104,0.46618754,0.76241404,0.47540984,0.7725179,0.66535604,312_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.53687146215325,55.78385200783928]}"
2_66_0,0.5962275,0.30714744,0.33262935,0.75136054,0.85871786,0.5818513,0.8422441,0.56303185,72_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.066697816726943,55.25169003352688]}"
2_67_0,0.21821305,0.25833338,0.2882612,0.5975744,0.83095556,0.8816921,0.6452162,0.7909054,111_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.446860270684475,55.05046740988411]}"
2_68_0,0.4501348,0.28785047,0.16247451,0.77526504,0.8504005,0.8024567,0.7681564,0.7220374,259_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.895478923573762,55.26965633920927]}"
2_69_0,0.16297482,0.63719416,0.31285045,0.66197944,0.81371486,0.83912665,0.7263165,0.728483,80_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.393859668921422,54.97321229544983]}"
2_70_0,-100.0,0.22365038,0.43423286,0.7394582,0.87286484,0.77745044,0.7577791,0.65260196,265_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.8078033518437,55.25582228383383]}"
2_71_0,0.53153116,0.21468632,0.21098627,0.7531364,0.89115083,0.862429,0.8002436,0.6804499,64_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.04477892379443,55.209648878230084]}"
2_72_0,0.07288347,0.27785987,0.25288972,0.63629043,0.8940689,0.90108025,0.76253265,0.58440036,215_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.399968212853437,54.974110610733945]}"
2_73_0,0.3444347,0.32723746,0.20749472,0.39091492,0.82573324,0.78144133,0.6788984,0.5681592,154_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.41721586630853,55.11316981671565]}"
2_74_0,-100.0,0.44917303,0.36762226,0.7104811,0.8595299,0.79214257,0.7834997,0.69644547,146_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.454406119071077,55.132932752966276]}"
2_75_0,0.51503617,0.123882875,0.24790296,0.5904356,0.84410393,0.48568088,0.82732373,0.72105545,243_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.959618634859897,55.20785224766184]}"
2_76_0,0.47623605,0.35985306,0.38167566,0.67060906,0.8937339,0.7999443,0.88159573,0.8234111,6_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.444524650945763,55.13203443768216]}"
2_77_0,0.25821066,0.3152947,0.35289115,0.51702625,0.86603886,0.82359195,0.7156534,0.62220085,18_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.36708987345466,55.13454972047769]}"
2_78_0,0.487238,0.3265403,0.24654023,0.53827757,0.85711974,0.6583094,0.74405724,0.6725887,48_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95836099346213,55.166529744592346]}"
2_79_0,0.57708716,0.34223706,0.33006743,0.7128613,0.83718026,0.64656943,0.81207347,0.5144022,72_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.067057142840593,55.25169003352688]}"
2_80_0,0.74592966,0.30397025,0.3967657,0.55239224,0.8106276,0.7458416,0.42679387,0.707405,59_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.0205244111232,55.221147313866815]}"
2_81_0,0.12115075,0.52236676,0.22944808,0.51626444,0.8635037,0.82893157,0.7829998,0.6973102,372_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.62508602305379,55.77810279002092]}"
2_82_0,0.14329575,0.42557046,0.21998651,0.5507434,0.76899046,0.31333107,0.6193868,0.55673677,313_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.53363752713042,55.78528931229387]}"
2_83_0,0.3142455,-0.028078543,0.31434315,0.5228048,0.84133965,0.89021355,0.8293126,0.81254184,226_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.369964482363844,55.03052481057665]}"
2_84_0,0.33287942,0.18453114,0.17237237,0.190459,0.44079387,0.8088158,0.53061837,0.8315682,98_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.33025894680576,55.03950796341785]}"
2_85_0,0.56411874,0.13836782,0.24079601,0.3849287,0.6797434,0.7817098,0.7342541,0.6588199,262_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.798460872888857,55.25384599020877]}"
2_86_0,0.47289157,0.0942029,0.30860034,0.5581873,0.851982,0.76419216,0.68569964,0.6179751,20_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.364933916772774,55.13993961218241]}"
2_87_0,0.46997464,0.25332886,0.30971438,0.5592851,0.8384661,0.8161245,0.82925254,0.7288024,189_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.028788911737102,55.222045629150934]}"
2_88_0,0.5307559,0.25240573,0.35030365,0.69925964,0.8659911,0.8542161,0.8403893,0.7705603,374_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.57729564993863,55.753488951236044]}"
2_89_0,0.30077624,0.24680272,0.21201567,0.32151312,0.8337421,0.8098968,0.78008384,0.60204875,351_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.97075774438298,55.90171097311576]}"
2_90_0,0.046511628,0.27082297,0.37474892,0.61347234,0.8729307,0.8956319,0.80318445,0.8085586,104_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.3523575027951,55.08101012954417]}"
2_91_0,0.16000916,0.0041610114,0.40153712,0.6878412,0.8897446,0.90292066,0.87556314,0.8326849,95_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.37247976515938,55.02459592970146]}"
2_92_0,0.5007705,0.23636363,0.28620425,0.6870096,0.8607909,0.84317046,0.8341109,0.6368384,207_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.086820079091222,55.244683174310744]}"
2_93_0,0.80451125,0.71838003,0.34727484,0.20868114,0.59556127,0.4456282,0.74176013,0.6899743,381_2020,0,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.55016652835822,55.75115333149733]}"
2_94_0,0.58404,0.14348786,0.2339833,0.5314028,0.7390365,0.7627565,0.61838526,0.59009075,182_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.93266917633631,55.17569256049036]}"
2_95_0,0.5208333,0.1942959,0.33333334,0.52261156,0.88570976,0.8390639,0.7796148,0.6660286,22_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.361340655636297,55.13904129689829]}"
2_96_0,0.39654875,0.34902468,0.32427,0.666597,0.8710602,0.88946044,0.80954766,0.7599352,358_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.27115437539255,55.89003287442221]}"
2_97_0,0.5123546,0.18809006,0.4014681,0.78220963,0.8181818,0.67502654,0.6091228,0.54639596,182_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.932309850222666,55.17569256049036]}"
2_98_0,0.062460165,0.542811,0.28800857,0.42780748,0.8784011,0.8879855,0.72875863,0.7198648,103_2020,1,y2020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.36295762314771,55.09053227155584]}"
